
 - final statistics:
136 variables; iteration 0; function evaluation 0
Function value 7.3340e+03; maximum gradient component mag 4.1948e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 37 -0.01203  1.27249e-05 | 38 -0.01181  1.29683e-05 | 39 -0.01155  1.25409e-05
 40 -0.01125  1.12774e-05 | 41 -0.01091  1.25497e-05 | 42 -0.01054  8.76840e-06
 43 -0.01013  1.03450e-05 | 44 -0.00969  1.09382e-05 | 45 -0.00923  7.35440e-06
 46 -0.00875  9.72513e-06 | 47 -0.00826  6.56310e-06 | 48 -0.00778  7.10559e-06
 49 -0.00731  4.03957e-06 | 50 -0.00686  1.39671e-06 | 51 -0.00645  5.17914e-06
 52 -0.00608  1.18792e-06 | 53 -0.00576 -1.98348e-06 | 54 -0.00548  6.06397e-06
 55 -0.00524  7.10536e-06 | 56 -0.00503 -8.07009e-06 | 57 -0.00482 -4.26764e-06
 58 -0.00458  3.78189e-06 | 59 -0.00430 -9.58121e-06 | 60 -0.00394 -1.76754e-05
 61 -0.00348  1.73304e-06 | 62 -0.00287 -1.41889e-05 | 63 -0.00209 -1.03291e-05
 64 -0.00109 -1.08591e-05 | 65  0.00014 -9.57697e-06 | 66  0.00165 -1.35060e-05
 67  0.00344 -2.34528e-05 | 68  0.00556 -1.35800e-05 | 69  0.00799 -5.45679e-06
 70  0.01073 -1.58789e-05 | 71  0.01376 -2.43428e-05 | 72  0.01701 -8.58746e-06
 73  0.02039 -1.21999e-05 | 74  0.02374 -2.96111e-05 | 75  0.02688 -1.24423e-05
 76  0.02959 -1.48193e-05 | 77  0.03167 -3.22977e-05 | 78  0.03301 -1.86661e-05
 79  0.03356 -4.13661e-05 | 80  0.03342 -1.01740e-05 | 81  0.03269 -2.02135e-05
 82  0.03141 -1.01645e-05 | 83  0.02955 -1.68854e-05 | 84  0.02701 -2.26684e-05
 85  0.02374 -1.80581e-05 | 86  0.01993 -2.27484e-05 | 87  0.01595 -1.66412e-05
 88  0.01232 -1.02439e-05 | 89  0.00947 -1.41486e-05 | 90  0.00753 -2.38902e-05
 91  0.00629 -2.94729e-05 | 92  0.00535 -4.13057e-06 | 93  0.00459 -9.98309e-06
 94  0.00449 -1.91611e-05 | 95  0.00513 -3.24194e-05 | 96  0.00537 -6.58443e-06
 97  0.00705 -1.99792e-06 | 98  0.00963  1.65328e-05 | 99  0.01361 -6.15433e-06
100  0.01372 -1.79579e-05 |101  0.01248 -4.96247e-05 |102  0.01080 -4.17440e-05
103  0.00276 -2.98690e-05 |104  0.00363 -4.40128e-05 |105  0.02300 -1.62731e-05
106  0.02148  2.99536e-05 |107 -0.00261  3.39974e-05 |108  0.01586  3.24669e-05
109  0.08394 -4.67510e-05 |110  0.02835 -4.91173e-05 |111 -0.01439  3.72752e-06
112  0.00446 -2.87334e-05 |113  0.01955 -1.01412e-05 |114  0.03886 -1.09588e-04
115  0.00304 -1.45960e-04 |116 -0.06231 -3.30405e-05 |117 -0.07875 -9.07796e-05
118 -0.07712 -1.18164e-04 |119 -0.03440 -8.33647e-05 |120  0.06997 -4.69230e-05
121  0.02382  9.81949e-05 |122  0.01399  9.91163e-05 |123 -0.02776  4.84435e-05
124 -0.06698  5.82784e-05 |125 -0.00633  6.30310e-05 |126  0.00477  7.46949e-05
127 -0.02715  2.83441e-05 |128  0.02836  9.94954e-05 |129  0.07361  1.36823e-04
130  0.01051 -1.77429e-05 |131  0.08266 -6.23082e-05 |132  0.00582 -4.07904e-05
133  0.13296 -1.30205e-05 |134 -0.00525 -1.35422e-06 |135 -0.04642  3.42511e-05
136 -0.05667  4.06963e-06 |137 -0.02189 -1.60819e-05 |138  0.09425  2.52891e-05
139  0.03193  3.47834e-06 |140  0.01687  1.17041e-05 |141 -0.02797  2.65874e-06
142 -0.01758 -2.34924e-06 |143 -0.00587  7.40373e-06 |144 -0.00040 -1.15471e-07
145  0.27523 -2.96123e-04 |146  0.18628  4.19484e-04 |147  0.04655 -7.64839e-05
148  0.29672  1.08138e-04 |149 -0.47550 -7.73701e-06 |150  0.31378 -1.09996e-06
151  0.18240 -2.62346e-04 |152  0.25985  2.33422e-04 |153  0.17452 -1.05868e-04
154  0.25418  8.95812e-05 |155  0.10334  8.63487e-05 |156  0.29675 -1.24594e-04
157  0.16884  3.59576e-05 |158  0.24621  1.74619e-05 |159 -0.35199 -1.03148e-04
160  0.24280  1.35813e-04 |161  0.20262 -3.55854e-05 |162  0.31674  1.85133e-05
163 -0.38070 -2.04424e-05 |164  0.23598 -1.11514e-05 |165  0.05108  1.30467e-05
166  0.11964  4.03333e-05 |167  0.32137  1.22031e-04 |168  0.27251 -1.50026e-04
169  0.01338  1.27239e-05 |170  0.39320  6.17342e-05 |171  0.09929  2.64377e-04
172  0.16363 -3.67870e-04 |173  0.21869 -3.04886e-04 |174  0.25726  1.28413e-04
175 -0.55411  1.13771e-04 |176  0.17113 -1.05393e-05 |

Initial statistics: 200 variables; iteration 0; function evaluation 0; phase 4
Function value 7.3339616e+03; maximum gradient component mag 1.5226e-03
