
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3245179e+03; maximum gradient component mag -2.5989e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 85  0.01915 -1.53710e+00 | 86  0.01322 -1.91524e+00 | 87  0.00873 -1.99941e+00
 88  0.00608 -1.77673e+00 | 89  0.00428 -1.54439e+00 | 90  0.00287 -1.44367e+00
 91  0.00178 -1.45300e+00 | 92  0.00081 -1.52962e+00 | 93 -0.00008 -1.64840e+00
 94 -0.00025 -1.76739e+00 | 95  0.00043 -1.87031e+00 | 96  0.00022 -2.07235e+00
 97  0.00146 -2.25511e+00 | 98  0.00366 -2.39065e+00 | 99  0.00719 -2.50787e+00
100  0.00649 -2.65370e+00 |101  0.00443 -2.81933e+00 |102  0.00285 -2.84943e+00
103 -0.00398 -2.68051e+00 |104 -0.00036 -2.28389e+00 |105  0.01668 -3.25771e+00
106  0.02166 -1.80832e+00 |107  0.00108 -1.27457e-01 |108  0.01651 -4.90776e-01
109  0.08854  1.56623e+00 |110  0.02161  1.83581e-01 |111 -0.01716  1.11684e+00
112 -0.00065  8.51875e-01 |113  0.01404  3.55561e-01 |114  0.04224  1.84164e+00
115  0.01505  2.59413e+00 |116 -0.04582  3.22681e+00 |117 -0.06072  4.93629e+00
118 -0.06185  4.98350e+00 |119 -0.02552  3.32582e+00 |120  0.01703  3.51428e+00
121  0.02016  3.55718e+00 |122 -0.00503  3.17797e+00 |123  0.00205  5.60671e+00
124 -0.01741  2.54233e+00 |125 -0.00824  1.17387e+00 |126  0.01810  1.03742e+00
127  0.02814  1.38452e+00 |128  0.03643  2.07695e+00 |129  0.03937  2.00776e+00
130  0.03509  1.31002e+00 |131  0.03959  4.87322e-01 |132  0.01098 -1.03984e-01
133  0.00020 -2.11559e-01 |134 -0.01140  8.47879e-02 |135 -0.01318  2.40507e-01
136 -0.00999  1.78828e-01 |137 -0.01043  1.44516e-01 |138  0.00050  9.49084e-03
139  0.00710 -7.86180e-02 |140 -0.00012  8.68580e-03 |141 -0.00221  2.94100e-02
142 -0.00056  7.57370e-03 |143 -0.00000  7.13984e-06 |144  0.00000 -6.96314e-10
145  0.26739  6.77459e+00 |146  0.18080  5.27121e+00 |

Intermediate statistics: 146 variables; iteration 20; function evaluation 25; phase 2
Function value 5.2862712e+03; maximum gradient component mag 1.4235e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42327  8.16761e+01 |  2  0.49131 -1.72149e+01 |  3 -0.10022 -3.31528e+01
  4 -0.12663 -5.66720e+00 |  5 -0.66891 -3.08621e+00 |  6 -0.60161 -2.18627e+01
  7  0.45112 -3.07612e+00 |  8 -0.17632 -5.26812e-01 |  9 -0.04524  2.86179e+01
 10 -0.52815 -1.70267e+00 | 11 -0.61922  1.42352e+02 | 12 -0.06802 -6.54494e+01
 13 -0.00955 -3.13365e-01 | 14 -0.00975 -3.21919e-01 | 15 -0.00994 -3.30716e-01
 16 -0.01013 -3.39765e-01 | 17 -0.01032 -3.49078e-01 | 18 -0.01049 -3.58664e-01
 19 -0.01066 -3.68532e-01 | 20 -0.01082 -3.78691e-01 | 21 -0.01097 -3.89152e-01
 22 -0.01111 -3.99927e-01 | 23 -0.01123 -4.11028e-01 | 24 -0.01134 -4.22472e-01
 25 -0.01143 -4.34280e-01 | 26 -0.01151 -4.46477e-01 | 27 -0.01156 -4.59088e-01
 28 -0.01159 -4.72121e-01 | 29 -0.01160 -4.85567e-01 | 30 -0.01158 -4.99416e-01
 31 -0.01154 -5.13692e-01 | 32 -0.01146 -5.28439e-01 | 33 -0.01136 -5.43711e-01
 34 -0.01123 -5.59561e-01 | 35 -0.01106 -5.76033e-01 | 36 -0.01085 -5.93148e-01
 37 -0.01061 -6.10899e-01 | 38 -0.01032 -6.29262e-01 | 39 -0.01000 -6.48207e-01
 40 -0.00963 -6.67688e-01 | 41 -0.00921 -6.87800e-01 | 42 -0.00876 -7.08595e-01
 43 -0.00826 -7.30177e-01 | 44 -0.00773 -7.52648e-01 | 45 -0.00718 -7.76086e-01
 46 -0.00660 -8.00564e-01 | 47 -0.00602 -8.26195e-01 | 48 -0.00543 -8.53088e-01
 49 -0.00486 -8.81370e-01 | 50 -0.00432 -9.11106e-01 | 51 -0.00381 -9.42207e-01
 52 -0.00335 -9.74411e-01 | 53 -0.00294 -1.00753e+00 | 54 -0.00258 -1.04159e+00
 55 -0.00227 -1.07691e+00 | 56 -0.00199 -1.11414e+00 | 57 -0.00173 -1.15392e+00
 58 -0.00146 -1.19673e+00 | 59 -0.00116 -1.24323e+00 | 60 -0.00080 -1.29406e+00
 61 -0.00034 -1.35007e+00 | 62  0.00024 -1.41198e+00 | 63  0.00098 -1.48083e+00
 64  0.00191 -1.55808e+00 | 65  0.00307 -1.64504e+00 | 66  0.00447 -1.74524e+00
 67  0.00615 -1.86102e+00 | 68  0.00810 -1.99465e+00 | 69  0.01034 -2.14688e+00
 70  0.01289 -2.31374e+00 | 71  0.01574 -2.48688e+00 | 72  0.01888 -2.65915e+00
 73  0.02215 -2.83698e+00 | 74  0.02529 -3.03626e+00 | 75  0.02809 -3.25041e+00
 76  0.03039 -3.45562e+00 | 77  0.03192 -3.65317e+00 | 78  0.03247 -3.84777e+00
 79  0.03214 -4.01993e+00 | 80  0.03109 -4.15858e+00 | 81  0.02939 -4.27538e+00
 82  0.02708 -4.37927e+00 | 83  0.02418 -4.46102e+00 | 84  0.02071 -4.50463e+00
 85  0.01665 -4.51273e+00 | 86  0.01208 -4.50493e+00 | 87  0.00749 -4.47405e+00
 88  0.00345 -4.41066e+00 | 89  0.00032 -4.33664e+00 | 90 -0.00173 -4.26217e+00
 91 -0.00276 -4.17082e+00 | 92 -0.00300 -4.03684e+00 | 93 -0.00275 -3.86331e+00
 94 -0.00202 -3.67281e+00 | 95 -0.00019 -3.40180e+00 | 96  0.00301 -2.94349e+00
 97  0.00497 -2.59586e+00 | 98  0.00598 -2.26497e+00 | 99  0.00584 -1.94708e+00
100  0.00844 -1.02003e+00 |101  0.00973 -9.45576e-02 |102  0.00943  8.55294e-01
103  0.01190  2.41441e+00 |104  0.00687  2.40490e+00 |105  0.00021  1.01577e+00
106  0.02246  4.35193e+00 |107  0.03658  6.88702e+00 |108  0.01205  3.35494e+00
109  0.01543  3.11816e+00 |110  0.07253  1.40068e+01 |111  0.04935  1.04358e+01
112 -0.01512  2.71752e+00 |113 -0.00627  5.01885e-02 |114  0.01683 -1.68997e+00
115  0.03313  2.50485e+00 |116 -0.01302  3.26731e+00 |117 -0.05595  2.71985e+00
118 -0.05772  3.90796e+00 |119 -0.05499  1.60410e+00 |120 -0.01440  3.67367e+00
121  0.03840  1.02288e+01 |122  0.03307  9.30489e+00 |123 -0.00868  6.01554e+00
124 -0.01887  4.60414e+00 |125 -0.00983  3.47255e+00 |126  0.01849  3.85880e+00
127  0.02936  3.57088e+00 |128  0.03527  3.08867e+00 |129  0.04916  3.04219e+00
130  0.04199  1.79996e+00 |131  0.02442 -6.39828e-01 |132  0.02324  1.12730e+00
133  0.00563  1.30566e-01 |134 -0.01180 -1.09917e-01 |135 -0.01694 -3.44104e-01
136 -0.01796 -6.23256e-01 |137 -0.01274 -1.68829e-01 |138 -0.01413 -1.15004e+00
139 -0.00278 -6.29836e-01 |140  0.01241  8.97140e-01 |141 -0.00026  6.50119e-02
142 -0.00496 -2.66995e-01 |143 -0.00121 -8.35218e-02 |144 -0.00000 -2.51570e-07
145  0.23399 -1.76764e+01 |146  0.14653 -9.84129e+00 |

 - final statistics:
146 variables; iteration 37; function evaluation 51
Function value 5.2845e+03; maximum gradient component mag -9.9661e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42581  4.35360e-01 |  2  0.50942 -4.16714e+00 |  3 -0.09331 -2.31511e+00
  4 -0.14396 -2.35458e+00 |  5 -0.67247 -1.14661e-01 |  6 -0.59936  1.11152e+00
  7  0.46655 -3.83446e+00 |  8 -0.17224 -1.40538e+00 |  9 -0.06346 -2.05570e+00
 10 -0.49774 -1.42596e+00 | 11 -0.62793 -9.96613e+00 | 12 -0.05282 -6.14573e+00
 13 -0.00963  2.94324e-02 | 14 -0.00983  3.03588e-02 | 15 -0.01003  3.13227e-02
 16 -0.01022  3.23260e-02 | 17 -0.01040  3.33709e-02 | 18 -0.01058  3.44588e-02
 19 -0.01075  3.55915e-02 | 20 -0.01091  3.67702e-02 | 21 -0.01106  3.79962e-02
 22 -0.01120  3.92710e-02 | 23 -0.01132  4.05959e-02 | 24 -0.01143  4.19723e-02
 25 -0.01152  4.34018e-02 | 26 -0.01159  4.48851e-02 | 27 -0.01165  4.64216e-02
 28 -0.01168  4.80091e-02 | 29 -0.01168  4.96447e-02 | 30 -0.01166  5.13251e-02
 31 -0.01162  5.30464e-02 | 32 -0.01154  5.48045e-02 | 33 -0.01144  5.65965e-02
 34 -0.01130  5.84192e-02 | 35 -0.01113  6.02685e-02 | 36 -0.01092  6.21376e-02
 37 -0.01067  6.40157e-02 | 38 -0.01038  6.58873e-02 | 39 -0.01005  6.77311e-02
 40 -0.00968  6.95166e-02 | 41 -0.00926  7.12172e-02 | 42 -0.00880  7.27947e-02
 43 -0.00831  7.42091e-02 | 44 -0.00778  7.54174e-02 | 45 -0.00722  7.63714e-02
 46 -0.00664  7.70169e-02 | 47 -0.00606  7.72947e-02 | 48 -0.00548  7.71414e-02
 49 -0.00491  7.64942e-02 | 50 -0.00437  7.52954e-02 | 51 -0.00387  7.34916e-02
 52 -0.00341  7.10273e-02 | 53 -0.00301  6.78383e-02 | 54 -0.00266  6.38401e-02
