
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782341e+03; maximum gradient component mag -2.3190e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 43 -0.00491  3.86183e-01 | 44 -0.00461  3.92333e-01 | 45 -0.00435  3.94391e-01
 46 -0.00413  3.91491e-01 | 47 -0.00393  3.82764e-01 | 48 -0.00372  3.67205e-01
 49 -0.00349  3.43677e-01 | 50 -0.00322  3.10553e-01 | 51 -0.00287  2.65503e-01
 52 -0.00243  2.05193e-01 | 53 -0.00189  1.25848e-01 | 54 -0.00123  2.53591e-02
 55 -0.00038 -9.14481e-02 | 56  0.00074 -2.04623e-01 | 57  0.00234 -2.73011e-01
 58  0.00464 -2.47692e-01 | 59  0.00767 -1.28341e-01 | 60  0.01091 -4.17743e-02
 61  0.01340 -1.88408e-01 | 62  0.01533 -4.92368e-01 | 63  0.01900 -4.48712e-01
 64  0.02426 -8.54451e-02 | 65  0.02600 -3.81993e-01 | 66  0.02567 -9.73140e-01
 67  0.03041 -4.84632e-01 | 68  0.03534  1.52293e-01 | 69  0.03408 -1.82914e-01
 70  0.03042 -8.22151e-01 | 71  0.02997 -7.76009e-01 | 72  0.03212 -1.49525e-01
 73  0.03146  8.18066e-02 | 74  0.02506 -6.39706e-01 | 75  0.02048 -9.03500e-01
 76  0.02123  2.65572e-02 | 77  0.01706  6.38251e-03 | 78  0.01129 -4.49773e-01
 79  0.00889 -3.50630e-01 | 80  0.00790 -1.37664e-01 | 81  0.00684 -1.03580e-01
 82  0.00555 -2.03926e-01 | 83  0.00426 -3.56305e-01 | 84  0.00385 -4.63937e-01
 85  0.00439 -5.34189e-01 | 86  0.00451 -6.17520e-01 | 87  0.00762 -3.55491e-01
 88  0.01134 -1.96771e-01 | 89  0.01203 -1.03301e+00 | 90  0.01277 -9.91806e-01
 91  0.01196 -9.63185e-01 | 92  0.01007 -1.03502e+00 | 93  0.00209 -9.66415e-01
 94  0.00753  1.46050e-01 | 95  0.02146 -1.21427e+00 | 96  0.02013 -1.06103e+00
 97 -0.00159 -4.91603e-02 | 98  0.01490 -1.31051e-01 | 99  0.08932  1.37215e+00
100  0.02488 -6.84185e-01 |101 -0.01395 -4.07794e-02 |102  0.00470 -2.29683e-02
103  0.02182  3.52655e-01 |104  0.03682 -7.05367e-01 |105  0.00358  6.74411e-01
106 -0.05931  2.59472e+00 |107 -0.07405  3.90948e+00 |108 -0.07379  3.09885e+00
109 -0.03494  1.54761e+00 |110  0.07184  3.48499e+00 |111  0.02605  1.85614e+00
112  0.01332 -8.12406e-01 |113 -0.02929 -1.60702e+00 |114 -0.06677 -6.21645e-01
115 -0.00635 -1.20767e+00 |116  0.00187 -2.00804e+00 |117 -0.02664 -1.24179e-01
118  0.03174  1.31421e+00 |119  0.07347  6.23681e-01 |120  0.01063  1.46047e-01
121  0.08288  2.82892e-01 |122  0.00646  4.15126e-01 |123  0.13399  1.13050e+00
124 -0.00658 -7.62365e-01 |125 -0.04342  1.21760e+00 |126 -0.05444  8.73971e-01
127 -0.02098  3.45367e-01 |128  0.09059 -1.75902e+00 |129  0.03000 -7.79440e-01
130  0.01380 -1.07358e+00 |131 -0.02644  6.71105e-01 |132 -0.01878 -3.67523e-01
133 -0.00492  2.14749e-01 |134 -0.00041 -3.95816e-03 |135  0.26946  2.75603e+00
136  0.18080  1.76375e+00 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 7.3340743e+03; maximum gradient component mag -1.9231e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42371 -8.73119e+00 |  2  0.37053  5.17935e+00 |  3 -0.12669 -5.56920e+00
  4 -0.01167  3.90706e+00 |  5 -0.70627  3.22749e-01 |  6 -0.60527 -1.92305e+01
  7  0.37555  4.49022e+00 |  8 -0.18500  1.79082e+01 |  9  0.03518  8.75673e+00
 10 -0.60813  2.07055e-01 | 11 -0.62427 -1.73671e+01 | 12 -0.08680  2.73162e+00
 13 -0.01027 -2.46498e-02 | 14 -0.01051 -2.95511e-02 | 15 -0.01075 -3.44770e-02
 16 -0.01098 -3.93361e-02 | 17 -0.01121 -4.40318e-02 | 18 -0.01144 -4.84451e-02
 19 -0.01165 -5.24506e-02 | 20 -0.01185 -5.59175e-02 | 21 -0.01205 -5.87088e-02
 22 -0.01223 -6.06852e-02 | 23 -0.01239 -6.17074e-02 | 24 -0.01253 -6.16384e-02
 25 -0.01266 -6.03474e-02 | 26 -0.01277 -5.77122e-02 | 27 -0.01285 -5.36207e-02
 28 -0.01291 -4.79702e-02 | 29 -0.01294 -4.06628e-02 | 30 -0.01294 -3.16033e-02
 31 -0.01291 -2.07035e-02 | 32 -0.01285 -7.88937e-03 | 33 -0.01275  6.88714e-03
 34 -0.01262  2.36312e-02 | 35 -0.01246  4.22899e-02 | 36 -0.01225  6.27331e-02
 37 -0.01200  8.47460e-02 | 38 -0.01172  1.08030e-01 | 39 -0.01139  1.32210e-01
 40 -0.01102  1.56812e-01 | 41 -0.01061  1.81421e-01 | 42 -0.01017  2.05530e-01
 43 -0.00970  2.28673e-01 | 44 -0.00920  2.50472e-01 | 45 -0.00869  2.70691e-01
 46 -0.00816  2.89292e-01 | 47 -0.00763  3.06457e-01 | 48 -0.00711  3.22466e-01
 49 -0.00660  3.37586e-01 | 50 -0.00611  3.51897e-01 | 51 -0.00566  3.65168e-01
 52 -0.00526  3.76841e-01 | 53 -0.00491  3.86183e-01 | 54 -0.00461  3.92333e-01
 55 -0.00435  3.94391e-01 | 56 -0.00413  3.91491e-01 | 57 -0.00393  3.82764e-01
 58 -0.00372  3.67205e-01 | 59 -0.00349  3.43677e-01 | 60 -0.00322  3.10553e-01
 61 -0.00287  2.65503e-01 | 62 -0.00243  2.05193e-01 | 63 -0.00189  1.25848e-01
 64 -0.00123  2.53591e-02 | 65 -0.00038 -9.14481e-02 | 66  0.00074 -2.04623e-01
 67  0.00234 -2.73011e-01 | 68  0.00464 -2.47692e-01 | 69  0.00767 -1.28341e-01
 70  0.01091 -4.17743e-02 | 71  0.01340 -1.88408e-01 | 72  0.01533 -4.92368e-01
 73  0.01900 -4.48712e-01 | 74  0.02426 -8.54451e-02 | 75  0.02600 -3.81993e-01
 76  0.02567 -9.73140e-01 | 77  0.03041 -4.84632e-01 | 78  0.03534  1.52293e-01
 79  0.03408 -1.82914e-01 | 80  0.03042 -8.22151e-01 | 81  0.02997 -7.76009e-01
 82  0.03212 -1.49525e-01 | 83  0.03146  8.18066e-02 | 84  0.02506 -6.39706e-01
 85  0.02048 -9.03500e-01 | 86  0.02123  2.65572e-02 | 87  0.01706  6.38251e-03
 88  0.01129 -4.49773e-01 | 89  0.00889 -3.50630e-01 | 90  0.00790 -1.37664e-01
 91  0.00684 -1.03580e-01 | 92  0.00555 -2.03926e-01 | 93  0.00426 -3.56305e-01
 94  0.00385 -4.63937e-01 | 95  0.00439 -5.34189e-01 | 96  0.00451 -6.17520e-01
 97  0.00762 -3.55491e-01 | 98  0.01134 -1.96771e-01 | 99  0.01203 -1.03301e+00
100  0.01277 -9.91806e-01 |101  0.01196 -9.63185e-01 |102  0.01007 -1.03502e+00
103  0.00209 -9.66415e-01 |104  0.00753  1.46050e-01 |105  0.02146 -1.21427e+00
106  0.02013 -1.06103e+00 |107 -0.00159 -4.91603e-02 |108  0.01490 -1.31051e-01
109  0.08932  1.37215e+00 |110  0.02488 -6.84185e-01 |111 -0.01395 -4.07794e-02
112  0.00470 -2.29683e-02 |113  0.02182  3.52655e-01 |114  0.03682 -7.05367e-01
115  0.00358  6.74411e-01 |116 -0.05931  2.59472e+00 |117 -0.07405  3.90948e+00
118 -0.07379  3.09885e+00 |119 -0.03494  1.54761e+00 |120  0.07184  3.48499e+00
121  0.02605  1.85614e+00 |122  0.01332 -8.12406e-01 |123 -0.02929 -1.60702e+00
124 -0.06677 -6.21645e-01 |125 -0.00635 -1.20767e+00 |126  0.00187 -2.00804e+00
127 -0.02664 -1.24179e-01 |128  0.03174  1.31421e+00 |129  0.07347  6.23681e-01
130  0.01063  1.46047e-01 |131  0.08288  2.82892e-01 |132  0.00646  4.15126e-01
133  0.13399  1.13050e+00 |134 -0.00658 -7.62365e-01 |135 -0.04342  1.21760e+00
136 -0.05444  8.73971e-01 |137 -0.02098  3.45367e-01 |138  0.09059 -1.75902e+00
139  0.03000 -7.79440e-01 |140  0.01380 -1.07358e+00 |141 -0.02644  6.71105e-01
142 -0.01878 -3.67523e-01 |143 -0.00492  2.14749e-01 |144 -0.00041 -3.95816e-03
145  0.26946  2.75603e+00 |146  0.18080  1.76375e+00 |

 - final statistics:
146 variables; iteration 2; function evaluation 3
Function value 7.3341e+03; maximum gradient component mag 7.8340e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42345  8.76996e-01 |  2  0.37045 -1.18868e+00 |  3 -0.12651  1.22062e+00
  4 -0.01180  4.66606e+00 |  5 -0.70630  1.97106e+00 |  6 -0.60472  4.79169e-01
  7  0.37569  5.48292e+00 |  8 -0.18522  7.83404e+00 |  9  0.03513  7.05168e+00
 10 -0.60815  1.47737e+00 | 11 -0.62374  4.56382e-01 | 12 -0.08689 -5.91442e-01
 13 -0.01027 -5.58346e-02 | 14 -0.01051 -6.14959e-02 | 15 -0.01075 -6.71989e-02
 16 -0.01098 -7.28534e-02 | 17 -0.01121 -7.83648e-02 | 18 -0.01143 -8.36155e-02
 19 -0.01165 -8.84818e-02 | 20 -0.01185 -9.28348e-02 | 21 -0.01204 -9.65399e-02
 22 -0.01222 -9.94604e-02 | 23 -0.01239 -1.01459e-01 | 24 -0.01253 -1.02403e-01
 25 -0.01266 -1.02162e-01 | 26 -0.01276 -1.00617e-01 | 27 -0.01285 -9.76571e-02
 28 -0.01290 -9.31800e-02 | 29 -0.01293 -8.70898e-02 | 30 -0.01294 -7.92937e-02
 31 -0.01291 -6.97068e-02 | 32 -0.01285 -5.82584e-02 | 33 -0.01275 -4.49029e-02
 34 -0.01262 -2.96364e-02 | 35 -0.01246 -1.25115e-02 | 36 -0.01225  6.34453e-03
 37 -0.01201  2.67216e-02 | 38 -0.01172  4.83267e-02 | 39 -0.01139  7.07914e-02
 40 -0.01103  9.36521e-02 | 41 -0.01062  1.16493e-01 | 42 -0.01018  1.38815e-01
 43 -0.00971  1.60160e-01 | 44 -0.00921  1.80155e-01 | 45 -0.00870  1.98572e-01
 46 -0.00817  2.15378e-01 | 47 -0.00765  2.30756e-01 | 48 -0.00712  2.44990e-01
 49 -0.00661  2.58346e-01 | 50 -0.00613  2.70912e-01 | 51 -0.00568  2.82473e-01
 52 -0.00527  2.92496e-01 | 53 -0.00492  3.00269e-01 | 54 -0.00462  3.04949e-01
 55 -0.00437  3.05642e-01 | 56 -0.00415  3.01481e-01 | 57 -0.00394  2.91590e-01
 58 -0.00374  2.74964e-01 | 59 -0.00351  2.50457e-01 | 60 -0.00323  2.16446e-01
 61 -0.00288  1.70602e-01 | 62 -0.00244  1.09618e-01 | 63 -0.00190  2.97365e-02
