
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3796087e+03; maximum gradient component mag -2.5350e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 16 -0.01070  8.49943e-02 | 17 -0.01092  8.31237e-02 | 18 -0.01114  8.11876e-02
 19 -0.01135  7.92174e-02 | 20 -0.01155  7.72480e-02 | 21 -0.01174  7.53194e-02
 22 -0.01192  7.34737e-02 | 23 -0.01208  7.17551e-02 | 24 -0.01223  7.02097e-02
 25 -0.01237  6.88815e-02 | 26 -0.01249  6.78113e-02 | 27 -0.01259  6.70374e-02
 28 -0.01267  6.66009e-02 | 29 -0.01272  6.65517e-02 | 30 -0.01275  6.69516e-02
 31 -0.01276  6.78629e-02 | 32 -0.01273  6.93395e-02 | 33 -0.01268  7.14187e-02
 34 -0.01260  7.41119e-02 | 35 -0.01248  7.73943e-02 | 36 -0.01233  8.12012e-02
 37 -0.01215  8.54236e-02 | 38 -0.01192  8.99166e-02 | 39 -0.01166  9.45029e-02
 40 -0.01136  9.89585e-02 | 41 -0.01102  1.03107e-01 | 42 -0.01065  1.06722e-01
 43 -0.01025  1.09606e-01 | 44 -0.00982  1.11632e-01 | 45 -0.00937  1.12787e-01
 46 -0.00891  1.13237e-01 | 47 -0.00844  1.13370e-01 | 48 -0.00797  1.13770e-01
 49 -0.00751  1.15182e-01 | 50 -0.00708  1.18420e-01 | 51 -0.00667  1.24269e-01
 52 -0.00629  1.33414e-01 | 53 -0.00594  1.46427e-01 | 54 -0.00562  1.63653e-01
 55 -0.00533  1.85149e-01 | 56 -0.00504  2.10715e-01 | 57 -0.00474  2.39942e-01
 58 -0.00441  2.72215e-01 | 59 -0.00403  3.06829e-01 | 60 -0.00356  3.42815e-01
 61 -0.00298  3.78801e-01 | 62 -0.00227  4.12502e-01 | 63 -0.00141  4.40405e-01
 64 -0.00038  4.57315e-01 | 65  0.00082  4.56379e-01 | 66  0.00218  4.31465e-01
 67  0.00373  3.80349e-01 | 68  0.00551  3.12756e-01 | 69  0.00764  2.57286e-01
 70  0.01031  2.57172e-01 | 71  0.01361  3.37471e-01 | 72  0.01726  4.43212e-01
 73  0.02044  4.21198e-01 | 74  0.02250  1.75399e-01 | 75  0.02415 -9.33760e-02
 76  0.02689 -5.84899e-02 | 77  0.03046  2.45607e-01 | 78  0.03340  5.51784e-01
 79  0.03493  7.26827e-01 | 80  0.03523  7.93072e-01 | 81  0.03466  7.99025e-01
 82  0.03340  7.67671e-01 | 83  0.03131  6.75129e-01 | 84  0.02777  4.15433e-01
 85  0.02265 -4.41319e-02 | 86  0.01796 -3.40452e-01 | 87  0.01576 -9.15520e-02
 88  0.01429  2.45816e-01 | 89  0.01207  2.41839e-01 | 90  0.00966 -3.48252e-02
 91  0.00758 -4.26595e-01 | 92  0.00577 -8.54240e-01 | 93  0.00428 -1.28279e+00
 94  0.00364 -1.70076e+00 | 95  0.00404 -2.09512e+00 | 96  0.00405 -2.51241e+00
 97  0.00498 -3.09573e+00 | 98  0.00685 -3.71159e+00 | 99  0.01312 -3.79974e+00
100  0.01178 -4.51467e+00 |101  0.00926 -5.11899e+00 |102  0.00824 -5.27099e+00
103 -0.00089 -5.40980e+00 |104 -0.00438 -6.31429e+00 |105  0.02827 -4.24546e+00
106  0.01918 -5.05900e+00 |107 -0.00303 -3.54261e+00 |108  0.00150 -6.09730e+00
109  0.09720 -2.24494e+00 |110  0.01023 -6.05072e+00 |111 -0.01481 -1.13901e+00
112  0.00517  6.61734e-01 |113  0.01915  2.34437e+00 |114  0.03773  4.99694e+00
115  0.00468  6.76484e+00 |116 -0.06048  6.01426e+00 |117 -0.07289  8.42445e+00
118 -0.06952  9.40605e+00 |119 -0.02869  8.05300e+00 |120  0.06408  5.34235e+00
121  0.03076  7.67931e+00 |122  0.01594  3.78413e+00 |123 -0.03401 -2.71280e+00
124 -0.07786 -5.30955e+00 |125 -0.01187 -4.04811e+00 |126  0.00623 -9.27134e-01
